demande_v2_id,demande_state,demande_last_submitted_at
43452,refused,
43680,refused,
43922,validated,
45436,refused,
47515,refused,
48288,refused,
49665,refused,
49728,validated,
51287,validated,
51613,refused,
52544,changes_requested,
53530,refused,
53730,refused,
54096,validated,
54397,submitted,2024-02-09 16:08:04 +0100
54854,refused,
55253,submitted,2023-08-31 13:45:09 +0200
55461,validated,
55547,validated,
55660,validated,
55754,validated,2025-03-06 15:11:43 +0100
55816,validated,
56068,validated,
56204,changes_requested,2023-10-13 09:16:50 +0200
56467,refused,
56544,validated,
56718,validated,
56793,validated,
57052,validated,
57092,changes_requested,
57132,submitted,2023-11-14 11:45:27 +0100
57554,changes_requested,2023-12-04 16:11:41 +0100
57890,validated,
58066,validated,2025-04-24 13:03:01 +0200
58102,validated,
58486,refused,2024-01-18 12:48:42 +0100
58616,validated,
58646,validated,2024-10-23 14:15:25 +0200
58849,refused,
59171,submitted,2025-06-17 09:59:53 +0200
59782,validated,
60558,validated,2024-06-11 11:13:13 +0200
65480,refused,2025-03-24 11:01:35 +0100
65532,changes_requested,2025-06-10 14:53:01 +0200
65740,changes_requested,2025-06-16 10:59:05 +0200
65811,submitted,2025-06-05 09:37:52 +0200
87126,validated,2024-06-19 17:40:16 +0200
87180,validated,2024-10-14 09:45:55 +0200
87189,validated,2024-07-29 18:10:16 +0200
87190,validated,2024-08-02 15:02:08 +0200
87193,refused,2024-07-29 17:45:21 +0200
87214,refused,2024-08-08 14:22:14 +0200
87304,validated,2024-09-23 11:57:54 +0200
87374,refused,2024-09-16 07:34:01 +0200
87385,refused,2024-09-18 13:07:19 +0200
87386,refused,2024-09-18 15:28:43 +0200
87404,validated,2024-10-11 15:51:32 +0200
87449,refused,2024-09-26 21:57:59 +0200
87495,refused,2024-10-01 23:17:51 +0200
87503,validated,2024-12-20 10:55:28 +0100
87543,validated,2024-10-07 10:02:49 +0200
87615,refused,2024-10-12 23:14:52 +0200
87617,refused,2024-10-14 09:12:58 +0200
87634,refused,2024-10-15 10:18:30 +0200
87644,validated,2024-10-16 10:10:41 +0200
87664,refused,2024-10-21 14:40:20 +0200
87676,refused,2024-11-22 09:43:24 +0100
87694,validated,2024-11-06 11:46:00 +0100
87714,refused,2024-10-30 09:36:41 +0100
87768,changes_requested,2024-12-12 14:19:32 +0100
87848,submitted,2024-11-20 08:25:03 +0100
87852,changes_requested,2024-11-20 14:34:58 +0100
87872,refused,2024-11-25 14:43:35 +0100
88049,changes_requested,2024-12-17 10:54:29 +0100
88104,refused,2024-12-27 21:10:36 +0100
88109,refused,2024-12-31 18:52:15 +0100
88129,refused,2025-01-06 12:28:51 +0100
88144,refused,2025-01-08 10:35:41 +0100
88152,submitted,2025-01-17 11:59:49 +0100
88170,changes_requested,2025-01-12 18:31:21 +0100
88292,refused,2025-01-24 13:43:06 +0100
88321,refused,2025-01-29 02:18:52 +0100
88348,submitted,2025-01-31 17:46:12 +0100
88413,refused,2025-02-09 12:19:57 +0100
88423,submitted,2025-02-10 12:17:50 +0100
88595,submitted,2025-02-26 17:46:29 +0100
88606,refused,2025-03-06 12:41:40 +0100
88611,submitted,2025-02-28 11:53:30 +0100
88637,refused,2025-03-05 15:51:44 +0100
88638,submitted,2025-03-05 16:17:30 +0100
88655,submitted,2025-03-07 10:41:20 +0100
88721,changes_requested,2025-03-17 14:51:41 +0100
88799,refused,2025-03-26 16:51:45 +0100
88873,changes_requested,2025-04-02 17:55:37 +0200
88899,refused,2025-04-05 18:22:31 +0200
88950,validated,2025-06-06 11:00:39 +0200
88956,refused,2025-04-15 14:14:03 +0200
88961,validated,2025-05-22 11:43:09 +0200
88995,refused,2025-04-19 18:15:32 +0200
88997,refused,2025-04-20 19:40:54 +0200
89001,changes_requested,2025-04-22 11:00:30 +0200
89019,validated,2025-05-02 11:34:05 +0200
89024,validated,2025-05-02 12:41:43 +0200
89071,changes_requested,2025-04-29 12:54:23 +0200
89083,changes_requested,2025-04-29 19:26:46 +0200
89106,refused,2025-05-05 17:29:00 +0200
89127,refused,2025-05-08 15:56:04 +0200
89214,changes_requested,2025-05-19 15:40:26 +0200
89228,refused,2025-05-20 14:35:52 +0200
89238,changes_requested,2025-05-26 11:31:29 +0200
89258,refused,2025-05-21 16:16:49 +0200
89269,validated,2025-05-22 10:46:47 +0200
89287,submitted,2025-05-23 09:22:33 +0200
89317,validated,2025-05-28 08:46:37 +0200
89347,refused,2025-05-27 15:54:06 +0200
89367,refused,2025-05-28 11:21:55 +0200
89413,refused,2025-06-03 11:48:45 +0200
89422,refused,2025-06-03 14:26:13 +0200
89446,refused,2025-06-04 11:16:25 +0200
89453,submitted,2025-06-04 14:36:50 +0200
89461,submitted,2025-06-06 16:22:47 +0200
89471,validated,2025-06-05 10:44:52 +0200
89472,refused,2025-06-05 10:47:00 +0200
89485,refused,2025-06-05 15:52:19 +0200
89486,validated,2025-06-05 15:48:20 +0200
89533,validated,2025-06-10 13:06:16 +0200
89601,validated,2025-06-16 11:16:03 +0200
89618,submitted,2025-06-16 17:31:29 +0200
89630,submitted,2025-06-17 09:43:31 +0200
