Nom API,ID Datapass,ID API,Public Cible,Eligible,phrase,CTA,Texte du CTA,Notes
API Découpage Administratif - (API Geo),,259154845821938152215389721015928030330,,Pas d'arbre de décision,,,,
API Particulier,api-particulier,107959582842083703515711757520394806672,particulier,Non,"      Vous n’êtes pas autorisé à accéder aux données de cette API. L’usage de l’API Particulier est <b>uniquement reservé aux acteurs publics</b> : les administrations, les collectivités, leurs opérateurs, les acteurs de santé, les organismes ayant le statut spécifique <i>« chargé d'une mission ou délégataire de service public »</i>, etc.",,,
API Particulier,api-particulier,107959582842083703515711757520394806672,collectivité ou administration,Oui,"      <p>Que vous soyez une collectivité, une administration centrale, un organisme ayant le statut spécifique <i>« chargé d'une mission ou délégataire de service public »</i>, vous êtes éligible à l'utilisation de l'API Particulier.</p>

      <p><b>Si votre cadre légal le justifie</b>, l’API Particulier vous permet d’accéder directement aux données administratives des particuliers pour faciliter leurs démarches.</p>
      <p>- Pour vérifier que votre besoin correspond aux utilisations justifiant l'API Particulier, consultez nos différents <a href=""https://particulier.api.gouv.fr/cas_usages"">cas d'usages</a> (Tarification cantine et transport, aides facultatives départementales et régionales, aides sociales des CCAS, gestion RH du secteur public ...)</p>
      <p>- Pour vérifier si nous distribuons les données dont vos démarches ont besoin, veuillez consulter le <a href=""https://particulier.api.gouv.fr/catalogue"">catalogue des API</a>.</p>",,,
API Particulier,api-particulier,107959582842083703515711757520394806672,entreprise ou association,Non,"      <p>Vous n’êtes pas autorisé à accéder aux données de cette API. L’usage de l’API Particulier est <b>uniquement reservé aux acteurs publics</b> : les administrations, les collectivités, leurs opérateurs, les acteurs de santé, les organismes ayant le statut spécifique <i>« chargé d'une mission ou délégataire de service public »</i>, etc.</p>

      <p>Si vous êtes <b>éditeur de logiciels pour des acteurs publics, c'est à vos utilisateurs collectivité ou administration de faire une demande d'habilitation.</b></p>

      <p>En revanche, vous pouvez nous demander de vous référencer sur un cas d'usage afin de proposer des formulaires pré-remplis et ainsi simplifier l'expérience de vos clients publics :</p>",https://form.typeform.com/to/OJ4rkf5Z,Demander à être référencé,
API Entreprise,api-entreprise,227114281190751739760356458553733252313,particulier,Non,"Vous n’êtes pas autorisé à accéder aux données de cette API. L’usage de l’API Entreprise est uniquement reservé aux acteurs publics : les administrations, les collectivités, leurs opérateurs, les acteurs de santé, etc.",,,
API Entreprise,api-entreprise,227114281190751739760356458553733252313,collectivité ou administration,Oui,"      <p>Que vous soyez une collectivité, une administration centrale, un organisme ayant le statut spécifique <i>« chargé d'une mission ou délégataire de service public »</i>, vous êtes éligible à l'utilisation de l'API Entreprise.</p>

      <p><b>Si votre cadre légal le justifie</b>, l’API Entreprise vous permet d’accéder directement aux données administratives des entreprises et des associations pour faciliter leurs démarches.</p>
      <p>- Pour vérifier que votre besoin correspond aux utilisations justifiant l'API Entreprise, consultez nos différents <a href=""https://entreprise.api.gouv.fr/cas_usages"">cas d'usages</a> (marchés publics, aides et subventions, portail GRU...)</p>
      <p>- Pour vérifier si nous distribuons les données dont vos démarches ont besoin, veuillez consulter le <a href=""https://entreprise.api.gouv.fr/catalogue"">catalogue des API</a>.</p>",,,
API Entreprise,api-entreprise,227114281190751739760356458553733252313,entreprise ou association,Non,"<p>Vous n’êtes pas autorisé à accéder aux données de cette API. L’usage de l’API Entreprise est uniquement reservé aux acteurs publics : les administrations, les collectivités, leurs opérateurs, les acteurs de santé, etc.</p>

<p><b>Si vous êtes éditeur de logiciel pour des acteurs publics pour simplifier les démarches des entreprises/associations</b>, alors vous êtes éligible à intégrer l'API Entreprise pour la mettre à disposition de vos client publics <b>uniquement</b>. </p>

      <p>- Pour vérifier que votre logiciel correspond aux utilisations justifiant l'API Entreprise, consultez nos différents <a href=""https://entreprise.api.gouv.fr/cas_usages"">cas d'usages</a> (marchés publics, aides et subventions, portail GRU...) ;</p>
      <p>- Pour vous assurer que les API répondent aux besoins de vos clients publics, consultez le <a href=""https://entreprise.api.gouv.fr/catalogue"">catalogue des API</a> ;</p>

      <p>⚠️ <b>En tant que prestataire technique d’une entité administrative, si votre demande d'habilitation aboutit, vous ne serez pas habilité à recevoir les données issues de l'API Entreprise</b>, mais uniquement habilité à intégrer et gérer techniquement l'API pour votre client public. </p>",https://datapass.api.gouv.fr/api-entreprise?demarche=editeur,Déposer une demande Editeur,
API Adresse (Base Adresse Nationale - BAN),,305556977706724045175886535341157131465,,Pas d'arbre de décision,,,,
API Recherche des personnes physiques (R2P),api-sfip,157099898268225165331342193076025631109,particulier,Non,Vous n’êtes pas autorisé à accéder aux données de cette API.,,,
API Recherche des personnes physiques (R2P),api-sfip,157099898268225165331342193076025631109,entreprise ou association,Peut-être,"<p><b>❌ Si vous êtes une entreprise ou une association, vous n'êtes pas éligible.</b> </p>

<p><b>✅ Si vous êtes un établissement bancaire, vous êtes peut-être éligible.</b>  Dans le cadre de la vérification de l’éligibilité au <a href=""https://www.service-public.fr/particuliers/vosdroits/F2367"">LEP</a> les banques peuvent être considérées comme une administration au sens de <a href=""https://www.legifrance.gouv.fr/affichCodeArticle.do?cidTexte=LEGITEXT000031366350&idArticle=LEGIARTI000031367308&dateTexte=&categorieLien=cid"">l'article L100-3 du code des relations entre le public et l'administration</a>.</p>

<p>Si vous entrez dans ce cadre, vous pouvez effectuer une demande d'habilitation à l’API R2P via le Courtier Fonctionnel SFiP.</p>",,,
